earth42,entire
semiposthumous,23587
batman,862
may,863
be,864
referring,865
to,866
personality,867
kate,868
is,869
a,870
strong,871
headed,872
woman,873
not,874
taking,875
any,876
belittlement,877
from,878
others,879
shes,880
also,881
very,882
prideful,883
wanting,884
another,885
man,886
rescue,887
her,888
as,889
did,890
this,891
was,892
the,893
impetus,894
for,895
becoming,896
batwoman,897
snarky,898
but,899
almost,900
always,901
able,902
keep,903
calm,904
demeanor,905
and,906
father,907
get,908
along,909
extremely,910
well,911
with,912
him,913
serving,914
main,915
support,916
system,917
believes,918
god,919
when,920
batwing,921
quipped,922
wouldnt,923
like,924
them,925
breaking,926
into,927
place,928
of,929
worship,930
returned,931
quip,932
i,933
dont,934
think,935
been,936
here,937
in,938
long,939
time,940
she,941
seems,942
trying,943
romance,944
renee,945
montoya,946
katherine,947
kane,948
an,949
exsoldierturnedvigilante,950
known,951
daughter,952
colonel,953
jacob,954
gabi,955
twin,956
sister,957
elizabeth,958
robin,959
unlike,960
his,961
mentor,962
dick,963
shown,964
more,965
easygoing,966
approachable,967
even,968
nightwing,969
identity,970
hes,971
rather,972
talkative,973
taunting,974
damian,975
during,976
their,977
sparring,978
session,979
conversing,980
kori,981
they,982
were,983
infiltrating,984
hive,985
base,986
despite,987
he,988
does,989
take,990
matters,991
seriously,992
if,993
situation,994
presents,995
itself,996
holds,997
high,998
regard,999
bruce,1000
surrogate,1001
though,1002
has,1003
stated,1004
that,1005
it,1006
wasnt,1007
easy,1008
growing,1009
up,1010
under,1011
tutelage,1012
addition,1013
no,1014
desire,1015
inherit,1016
mantle,1017
own,1018
than,1019
live,1020
bruces,1021
shadow,1022
displaying,1023
great,1024
disdain,1025
filling,1026
disappeared,1027
second,1028
see,1029
wayne,1030
physical,1031
appearance,1032
talia,1033
al,1034
ghul,1035
slim,1036
wellendowed,1037
green,1038
eyes,1039
brown,1040
hair,1041
normal,1042
attire,1043
black,1044
jumpsuit,1045
shows,1046
cleavage,1047
,1048
originally,1049
loving,1050
who,1051
cared,1052
deeply,1053
son,1054
protect,1055
deathstroke,1056
lamenting,1057
ras,1058
death,1059
held,1060
feelings,1061
towards,1062
often,1063
acting,1064
seductively,1065
first,1066
encounter,1067
affectionately,1068
calling,1069
beloved,1070
after,1071
leadership,1072
head,1073
league,1074
assassins,1075
seemingly,1076
usage,1077
lazarus,1078
pit,1079
displays,1080
complete,1081
change,1082
now,1083
acts,1084
coldly,1085
killing,1086
heretic,1087
upon,1088
hearing,1089
grievances,1090
extends,1091
those,1092
once,1093
loved,1094
willing,1095
brainwashes,1096
without,1097
remorse,1098
claiming,1099
have,1100
cleansed,1101
all,1102
pain,1103
endured,1104
coldness,1105
bastard,1106
ordering,1107
kill,1108
claim,1109
could,1110
make,1111
children,1112
although,1113
claims,1114
actions,1115
act,1116
love,1117
speculates,1118
about,1119
control,1120
had,1121
gone,1122
however,1123
cold,1124
hearted,1125
what,1126
truly,1127
inception,1128
raised,1129
heir,1130
would,1131
only,1132
fully,1133
commit,1134
agreed,1135
lead,1136
rule,1137
world,1138
alongside,1139
gotham,1140
city,1141
its,1142
meet,1143
your,1144
roman,1145
sionis,1146
mob,1147
boss,1148
goes,1149
by,1150
name,1151
mask,1152
due,1153
skull,1154
grafted,1155
face,1156
lucas,1157
luke,1158
fox,1159
lucius,1160
losing,1161
following,1162
attack,1163
used,1164
technology,1165
at,1166
enterprises,1167
become,1168
superhero,1169
blockbuster,1170
supervillain,1171
incredible,1172
strength,1173
low,1174
intelligence,1175
bad,1176
blood,1177
sixth,1178
installment,1179
dc,1180
animated,1181
movie,1182
universe,1183
sequel,1184
vs,1185
released,1186
on,1187
february,1188
2,1189
2016,1190
fourth,1191
film,1192
titled,1193
hush,1194
three,1195
years,1196
later,1197
august,1198
12,1199
2019,1200
doesnt,1201
serve,1202
particularly,1203
dealing,1204
seen,1205
collected,1206
gentleman,1207
never,1208
lost,1209
temper,1210
confident,1211
supportive,1212
caring,1213
supported,1214
struck,1215
grief,1216
ptsd,1217
